      DATE & TIME:      |   STATUS:   |     REF:     |    EQU:     |   NWT:   |        MRN:        | PKG: |   ABS:   |    DAT:    
2023-02-15 12:05:23,049 |         NEW:|   77997986   | UACU3904020 | 14412.93 | 22SEE493IU4R428G98 | 766  | 51059536 | 2022-03-24 
2023-02-15 12:05:23,095 |         NEW:| GOTC05462300 | TRLU7449027 | 19771.00 | 22SEE4ZCAL55AK0C57 | 1452 | 51060006 | 2022-04-07 
2023-02-15 12:05:23,131 |         NEW:|   77147038   | TGHU1513324 | 14662.94 | 22SEE32TSS1RMNMCR6 | 748  | 51060056 | 2022-03-01 
2023-02-15 12:05:23,163 |         NEW:| GOTC03831800 | GCXU2238670 | 17905.50 | 22SEE3STXS402V8PX9 | 1155 | 51060759 | 2022-03-15 
2023-02-15 12:05:23,194 |         NEW:| GOTC06358800 | TCKU4209793 | 19308.00 | 22SEE6CWB21LN0U539 | 968  | 51060876 | 2022-05-04 
2023-02-15 12:05:23,222 |         NEW:| GOTC05031900 | TGBU4495433 | 18851.00 | 22SEE4YY553JOH26F7 | 1210 | 51060880 | 2022-04-07 
2023-02-15 12:05:23,253 |         NEW:| GOTC03763500 | TTNU3728317 |  2208.00 | 22SEE3VMUJ2NDW0738 | 160  | 51061252 | 2022-03-17 
2023-02-15 12:05:23,279 |         NEW:|   16000229   | FANU1709851 | 22161.00 | 22SEE2HT2Z5U974EL7 | 1352 | 51061295 | 2022-02-18 
2023-02-15 12:05:23,306 |         NEW:|   10713578   | FANU1678745 | 18466.00 | 22SEE45DAX5M4Q81L2 | 1210 | 51061417 | 2022-03-22 
2023-02-15 12:05:23,335 |         NEW:|   79309677   | TGHU6604617 | 18721.00 | 22SEE32A812L2KU2C0 | 1144 | 51061418 | 2022-03-01 
2023-02-15 12:05:23,363 |         NEW:|   78621346   | HLBU2803876 | 18458.00 | 22SEE3D52E12RN2PN4 | 1210 | 51061420 | 2022-03-07 
2023-02-15 12:05:23,389 |         NEW:|   35347805   | UACU5433757 | 19134.00 | 22SEE58AZM1NMYUG20 | 968  | 51061488 | 2022-04-12 
2023-02-15 12:05:23,421 |         NEW:|   79113011   | HLBU3438628 | 19083.00 | 22SEE3VKLN1BCGU3K9 | 968  | 51061489 | 2022-03-17 
2023-02-15 12:05:23,452 |         NEW:|   78125836   | FANU1723314 | 17835.25 | 22SEE2G4MQ0E35IFE2 | 903  | 51061490 | 2022-02-17 
2023-02-15 12:05:23,492 |         NEW:|  2GOT001204  | MRKU9282866 | 17575.00 | 22SEE2TKJ832HC6E30 | 1696 | 51061554 | 2022-02-24 
2023-02-15 12:05:23,522 |         NEW:|  2GOT001206  | MSKU2520959 | 16948.00 | 22SEE2RHW31NH5E5Q5 | 2310 | 51061555 | 2022-02-23 
2023-02-15 12:05:23,550 |         NEW:|  2GOT001949  | MSKU7172563 | 18195.00 | 22SEE4YNQG0T3L2R40 | 920  | 51061556 | 2022-04-07 
2023-02-15 12:05:23,579 |         NEW:|  2GOT001945  | SUDU7627748 | 18179.00 | 22SEE5MRPQ0MVS49G0 | 920  | 51061557 | 2022-04-20 
2023-02-15 12:05:23,604 |         NEW:|  2GOT001505  | MRKU7532781 | 18391.00 | 22SEE3E1E23E8500H3 | 920  | 51061558 | 2022-03-07 
2023-02-15 12:05:23,632 |         NEW:| GOTC02117400 | CRXU1267598 | 17140.00 | 22SEE2GHJJ15MQGHM6 | 2310 | 51061582 | 2022-02-17 
2023-02-15 12:05:23,668 |         NEW:| GOTC02116300 | TCLU3570258 | 17134.00 | 22SEE2GHJP3WATG7D0 | 2310 | 51061584 | 2022-02-17 
2023-02-15 12:05:23,700 |         NEW:| GOTC02595700 | TCLU7283847 | 13609.00 | 22SEE3IV8W4CL2GAB6 | 1176 | 51061589 | 2022-03-10 
2023-02-15 12:05:23,739 |         NEW:|   25689931   | UACU3468991 | 14424.06 | 22SEE2HNAT0YV3MFI6 | 837  | 51061721 | 2022-02-18 
2023-02-15 12:05:23,771 |         NEW:| GOTC02211600 | TRHU3906364 | 13123.00 | 22SEE2HY783JU62DV0 | 1790 | 51061856 | 2022-02-18 
2023-02-15 12:05:23,813 |         NEW:| GOTC02208500 | TCKU1465024 | 14348.00 | 22SEE2CBQJ1T442G20 | 1440 | 51061857 | 2022-02-15 
2023-02-15 12:05:23,844 |         NEW:| GOTC02212700 | TCLU2999356 | 19141.00 | 22SEE2CJY81X07Y162 | 1920 | 51061858 | 2022-02-15 
2023-02-15 12:05:23,872 |         NEW:| GOTC02210500 | TCLU7557676 | 19136.00 | 22SEE2C4335RSA0AD1 | 1920 | 51061859 | 2022-02-15 
